,CRN,Subj,Crse,Sec,Cred,Title,Campus,Fee,Sylbi?,Location,Day(s),Time,Act,Rem,Instructor,Course Dates,Year,Term
0,37171,CS,146,001,3.000,INTRODUCTION TO PROGRAMMING,Bowling Green,$45,,TBA,TR,02:20 pm-03:40 pm,0,31,"Abumuhfouz, I",01/16-05/02,2024,Spring
1,39680,CS,170,002,3.000,PROBLEM SOLVING & PROGRAMMING,Bowling Green,$45,,TBA,TR,12:45 pm-02:05 pm,0,31,"Abumuhfouz, I",01/16-05/02,2024,Spring
2,45488,CS,180,001,4.000,COMPUTER SCIENCE I,Bowling Green,$45,,TBA,MWF,11:30 am-12:25 pm,0,31,"Yang, R",01/16-05/02,2024,Spring
3,,,,,,,,,,TBA,M,12:40 pm-02:30 pm,,,"Yang, R",01/16-05/02,2024,Spring
4,45491,CS,180,002,4.000,COMPUTER SCIENCE I,Bowling Green,$45,,TBA,MWF,11:30 am-12:25 pm,0,31,"Yang, R",01/16-05/02,2024,Spring
5,,,,,,,,,,TBA,W,12:40 pm-02:30 pm,,,"Yang, R",01/16-05/02,2024,Spring
6,47199,CS,270,003,3.000,INTRO TO WEB PROGRAMMING,Bowling Green,,,TBA,TR,09:35 am-10:55 am,0,30,"Atici, M",01/16-05/02,2024,Spring
7,46126,CS,290,001,4.000,COMPUTER SCIENCE II,Bowling Green,$45,,TBA,TR,11:10 am-12:30 pm,0,25,"Wang, H",01/16-05/02,2024,Spring
8,,,,,,,,,,TBA,T,12:45 pm-02:35 pm,,,"Wang, H",01/16-05/02,2024,Spring
9,46129,CS,290,002,4.000,COMPUTER SCIENCE II,Bowling Green,$45,,TBA,TR,11:10 am-12:30 pm,0,15,"Wang, H",01/16-05/02,2024,Spring
10,,,,,,,,,,TBA,R,12:45 pm-02:35 pm,,,"Wang, H",01/16-05/02,2024,Spring
11,46127,CS,290,007,4.000,COMPUTER SCIENCE II,Bowling Green,$45,,TBA,TR,11:10 am-12:30 pm,0,10,TBA,01/16-05/02,2024,Spring
12,,,,,,,,,,TBA,R,12:45 pm-02:35 pm,,,TBA,01/16-05/02,2024,Spring
13,46774,CS,299,001,3.000,INTRO TO RESEARCH IN CS,Bowling Green,,,TBA,,TBA,0,2,TBA,01/16-05/02,2024,Spring
14,46681,CS,301,002,3.000,GAME PROGRAMMING,Bowling Green,,,TBA,TR,08:00 am-09:20 am,0,40,"Galloway, J",01/16-05/02,2024,Spring
15,46429,CS,331,001,3.000,DATA STRUCTURES,Bowling Green,,,TBA,MWF,01:50 pm-02:45 pm,0,31,"Xing, G",01/16-05/02,2024,Spring
16,41921,CS,339,001,3.000,DISCRETE STRUCTURES,Bowling Green,,,TBA,MW,03:25 pm-04:45 pm,0,31,"Atici, M",01/16-05/02,2024,Spring
17,41924,CS,351,001,3.000,DATABASE MANAGEMENT SYSTEMS I,Bowling Green,,,TBA,MWF,09:10 am-10:05 am,0,40,"Yang, R",01/16-05/02,2024,Spring
18,02611,CS,369,002,3.000,COOP EDUC/COMPUTER SCI,Bowling Green,,,TBA,,TBA,0,5,TBA,01/16-05/02,2024,Spring
19,35757,CS,371,002,3.000,HON: ADV COMP PROB SOLVING,Bowling Green,,,TBA,MWF,09:10 am-10:05 am,0,15,"Xia, Z",01/16-05/02,2024,Spring
20,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,2024,Spring
21,35759,CS,371,003,3.000,HON: ADV COMP PROB SOLVING,Bowling Green,,,TBA,MWF,10:20 am-11:15 am,0,15,"Xia, Z",01/16-05/02,2024,Spring
22,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,2024,Spring
23,35762,CS,371,004,3.000,HON: ADV COMP PROB SOLVING,Bowling Green,,,TBA,MWF,12:40 pm-01:35 pm,0,15,"Xia, Z",01/16-05/02,2024,Spring
24,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,2024,Spring
25,42790,CS,371,005,3.000,HON: ADV COMP PROB SOLVING,Bowling Green,,,TBA,MWF,01:50 pm-02:45 pm,0,15,"Xia, Z",01/16-05/02,2024,Spring
26,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,2024,Spring
27,46430,CS,372,003,3.000,MOBILE APP DEVELOPMENT,Bowling Green,,,TBA,TR,11:10 am-12:30 pm,0,31,"Abumuhfouz, I",01/16-05/02,2024,Spring
28,37198,CS,382,001,3.000,PROGRAMMING LANGUAGES,Bowling Green,,,TBA,MWF,11:30 am-12:25 pm,0,40,"Atici, M",01/16-05/02,2024,Spring
29,47115,CS,406,001,3.000,NUMERICAL ANALYSIS II,Bowling Green,,,TBA,TR,02:20 pm-03:40 pm,0,4,"Robinson, M",01/16-05/02,2024,Spring
30,46724,CS,445,001,3.000,OPERATING SYSTEMS II,Bowling Green,,,TBA,MWF,01:50 pm-02:45 pm,0,20,"Li, Q",01/16-05/02,2024,Spring
31,46725,CS,445G,001,3.000,OPERATING SYSTEMS II,Bowling Green,,,TBA,MWF,01:50 pm-02:45 pm,0,10,"Li, Q",01/16-05/02,2024,Spring
32,02645,CS,475,001,3.000,TOPICS/COMPUTER SCIENCE,Bowling Green,,,TBA,MWF,09:10 am-10:05 am,0,5,TBA,01/16-05/02,2024,Spring
33,prerequisite: CS 339 or CS 331,prerequisite: CS 339 or CS 331,prerequisite: CS 339 or CS 331,prerequisite: CS 339 or CS 331,prerequisite: CS 339 or CS 331,prerequisite: CS 339 or CS 331,prerequisite: CS 339 or CS 331,prerequisite: CS 339 or CS 331,prerequisite: CS 339 or CS 331,prerequisite: CS 339 or CS 331,prerequisite: CS 339 or CS 331,prerequisite: CS 339 or CS 331,prerequisite: CS 339 or CS 331,prerequisite: CS 339 or CS 331,prerequisite: CS 339 or CS 331,prerequisite: CS 339 or CS 331,2024,Spring
34,47403,CS,475,008,3.000,TOPICS/COMPUTER SCIENCE,Bowling Green,,,TBA,,TBA,0,4,TBA,01/16-05/02,2024,Spring
35,38735,CS,496,001,3.000,SENIOR PROJECT & PROFESS PRAC,Bowling Green,,,TBA,TR,02:20 pm-03:40 pm,0,30,"Galloway, J",01/16-05/02,2024,Spring
36,24478,CS,543,001,3.000,ADVANCED DATABASE SYSTEMS,Bowling Green,,,TBA,MWF,11:30 am-12:25 pm,0,10,TBA,01/16-05/02,2024,Spring
37,24718,CS,549,001,3.000,ANALYSIS OF ALGORITHMS,Bowling Green,,,TBA,TR,08:00 am-09:20 am,0,25,"Xing, G",01/16-05/02,2024,Spring
38,46616,CS,555,001,3.000,DATA SCIENCE,Bowling Green,,,TBA,W,05:00 pm-07:45 pm,0,10,"Wang, H",01/16-05/02,2024,Spring
39,38738,CS,568,001,3.000,COMPUTER VISION,Bowling Green,,,TBA,MWF,09:10 am-10:05 am,0,10,TBA,01/16-05/02,2024,Spring
40,47460,CS,570,001,3.000,SECURITY IN COMPUTING,Bowling Green,,,TBA,T,05:00 pm-07:45 pm,0,10,"Xing, G",01/16-05/02,2024,Spring
41,40363,CS,599,003,3.000,THESIS RESEARCH/WRITING,Bowling Green,,,TBA,,TBA,0,2,TBA,01/16-05/02,2024,Spring
42,36226,CS,600,001,1.000,MAINT MATRICULATION,Bowling Green,,,TBA,,TBA,0,2,"Xing, G",01/16-05/02,2024,Spring
43,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,Spring
44,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,2024,Spring
45,48834,CS,146,001,3.000,INTRODUCTION TO PROGRAMMING,Bowling Green,$45,,TBA,TR,09:35 am-10:55 am,0,25,"Yang, R",08/21-12/07,2023,Fall
46,39385,CS,170,001,3.000,PROBLEM SOLVING & PROGRAMMING,Bowling Green,$45,,TBA,TR,12:45 pm-02:05 pm,0,25,"Yang, R",08/21-12/07,2023,Fall
47,48362,CS,180,001,4.000,COMPUTER SCIENCE I,Bowling Green,$45,,TBA,MWF,09:10 am-10:05 am,0,34,"Li, Q",08/21-12/07,2023,Fall
48,,,,,,,,,,TBA,M,10:20 am-11:15 am,,,"Li, Q",08/21-12/07,2023,Fall
49,,,,,,,,,,TBA,W,10:20 am-11:15 am,,,"Li, Q",08/21-12/07,2023,Fall
50,48363,CS,180,002,4.000,COMPUTER SCIENCE I,Bowling Green,$45,,TBA,MWF,09:10 am-10:05 am,0,31,"Li, Q",08/21-12/07,2023,Fall
51,,,,,,,,,,TBA,M,10:20 am-11:15 am,,,"Li, Q",08/21-12/07,2023,Fall
52,,,,,,,,,,TBA,F,10:20 am-11:15 am,,,"Li, Q",08/21-12/07,2023,Fall
53,48365,CS,180,003,4.000,COMPUTER SCIENCE I,Bowling Green,$45,,TBA,MWF,08:00 am-08:55 am,0,31,"Xing, G",08/21-12/07,2023,Fall
54,,,,,,,,,,TBA,M,12:40 pm-01:35 pm,,,"Xing, G",08/21-12/07,2023,Fall
55,,,,,,,,,,TBA,W,12:40 pm-01:35 pm,,,"Xing, G",08/21-12/07,2023,Fall
56,48366,CS,180,004,4.000,COMPUTER SCIENCE I,Bowling Green,$45,,TBA,MWF,08:00 am-08:55 am,0,31,"Xing, G",08/21-12/07,2023,Fall
57,,,,,,,,,,TBA,M,12:40 pm-01:35 pm,,,"Xing, G",08/21-12/07,2023,Fall
58,,,,,,,,,,TBA,F,12:40 pm-01:35 pm,,,"Xing, G",08/21-12/07,2023,Fall
59,48367,CS,180,005,4.000,COMPUTER SCIENCE I,Bowling Green,$45,,TBA,MWF,08:00 am-08:55 am,0,31,"Xing, G",08/21-12/07,2023,Fall
60,,,,,,,,,,TBA,M,11:30 am-12:25 pm,,,"Xing, G",08/21-12/07,2023,Fall
61,,,,,,,,,,TBA,W,11:30 am-12:25 pm,,,"Xing, G",08/21-12/07,2023,Fall
62,48368,CS,180,006,4.000,COMPUTER SCIENCE I,Bowling Green,$45,,TBA,MWF,08:00 am-08:55 am,0,31,"Xing, G",08/21-12/07,2023,Fall
63,,,,,,,,,,TBA,M,11:30 am-12:25 pm,,,"Xing, G",08/21-12/07,2023,Fall
64,,,,,,,,,,TBA,F,11:30 am-12:25 pm,,,"Xing, G",08/21-12/07,2023,Fall
65,48341,CS,239,001,3.000,PROB SOLVING COMP TECH,Bowling Green,$45,,TBA,TR,04:00 pm-05:20 pm,0,31,"Abumuhfouz, I",08/21-12/07,2023,Fall
66,The above CS 239 course is a support course for the Electrical Engineering major.,The above CS 239 course is a support course for the Electrical Engineering major.,The above CS 239 course is a support course for the Electrical Engineering major.,The above CS 239 course is a support course for the Electrical Engineering major.,The above CS 239 course is a support course for the Electrical Engineering major.,The above CS 239 course is a support course for the Electrical Engineering major.,The above CS 239 course is a support course for the Electrical Engineering major.,The above CS 239 course is a support course for the Electrical Engineering major.,The above CS 239 course is a support course for the Electrical Engineering major.,The above CS 239 course is a support course for the Electrical Engineering major.,The above CS 239 course is a support course for the Electrical Engineering major.,The above CS 239 course is a support course for the Electrical Engineering major.,The above CS 239 course is a support course for the Electrical Engineering major.,The above CS 239 course is a support course for the Electrical Engineering major.,The above CS 239 course is a support course for the Electrical Engineering major.,The above CS 239 course is a support course for the Electrical Engineering major.,2023,Fall
67,49575,CS,290,001,4.000,COMPUTER SCIENCE II,Bowling Green,$45,,TBA,TR,09:35 am-10:55 am,0,30,"Xing, G",08/21-12/07,2023,Fall
68,,,,,,,,,,TBA,T,12:45 pm-02:05 pm,,,"Xing, G",08/21-12/07,2023,Fall
69,49576,CS,290,002,4.000,COMPUTER SCIENCE II,Bowling Green,$45,,TBA,TR,09:35 am-10:55 am,0,15,"Wang, H",08/21-12/07,2023,Fall
70,,,,,,,,,,TBA,R,12:45 pm-02:35 pm,,,"Wang, H",08/21-12/07,2023,Fall
71,49577,CS,290,003,4.000,COMPUTER SCIENCE II,Bowling Green,$45,,TBA,TR,09:35 am-10:55 am,0,15,"Wang, H",08/21-12/07,2023,Fall
72,,,,,,,,,,TBA,R,12:45 pm-02:35 pm,,,"Wang, H",08/21-12/07,2023,Fall
73,50091,CS,299,001,1.000,INTRO TO RESEARCH IN CS,Bowling Green,,,TBA,,TBA,0,2,TBA,08/21-12/07,2023,Fall
74,50761,CS,299,004,1.000,INTRO TO RESEARCH IN CS,Bowling Green,,,TBA,,TBA,0,2,TBA,08/21-12/07,2023,Fall
75,49579,CS,301,001,3.000,GAME PROGRAMMING,Bowling Green,,,TBA,TR,11:10 am-12:30 pm,0,30,"Galloway, J",08/21-12/07,2023,Fall
76,35522,CS,315,001,3.000,INTRO TO UNIX,Bowling Green,,,TBA,TR,02:20 pm-03:40 pm,0,30,"Atici, M",08/21-12/07,2023,Fall
77,49580,CS,325,001,3.000,COMPUTER ORG AND ARCH,Bowling Green,,,TBA,MW,01:50 pm-03:10 pm,0,35,"Yang, R",08/21-12/07,2023,Fall
78,49581,CS,331,001,3.000,DATA STRUCTURES,Bowling Green,,,TBA,MWF,09:10 am-10:05 am,0,31,"Xia, Z",08/21-12/07,2023,Fall
79,02799,CS,360,001,3.000,SOFTWARE ENGINEERING I,Bowling Green,,,TBA,TR,09:35 am-10:55 am,0,40,"Galloway, J",08/21-12/07,2023,Fall
80,47097,CS,396,002,3.000,INTERMEDIATE SOFTWARE PROJECT,Bowling Green,,,TBA,MWF,10:20 am-11:15 am,0,35,"Xia, Z",08/21-12/07,2023,Fall
81,20382,CS,405,001,3.000,NUMERICAL ANALYSIS I,Bowling Green,,,TBA,MWF,11:30 am-12:25 pm,0,4,"Robinson, M",08/21-12/07,2023,Fall
82,20384,CS,405G,001,3.000,NUMERICAL ANALYSIS I,Bowling Green,,,TBA,MWF,11:30 am-12:25 pm,0,2,"Robinson, M",08/21-12/07,2023,Fall
83,45012,CS,421,001,3.000,DATA STRUCT & ALGRTH/ANALYSIS,Bowling Green,,,TBA,MWF,09:10 am-10:05 am,0,31,"Atici, M",08/21-12/07,2023,Fall
84,Course previously numbered CS 380. Students can not receive credit for both CS 380 and CS 421.,Course previously numbered CS 380. Students can not receive credit for both CS 380 and CS 421.,Course previously numbered CS 380. Students can not receive credit for both CS 380 and CS 421.,Course previously numbered CS 380. Students can not receive credit for both CS 380 and CS 421.,Course previously numbered CS 380. Students can not receive credit for both CS 380 and CS 421.,Course previously numbered CS 380. Students can not receive credit for both CS 380 and CS 421.,Course previously numbered CS 380. Students can not receive credit for both CS 380 and CS 421.,Course previously numbered CS 380. Students can not receive credit for both CS 380 and CS 421.,Course previously numbered CS 380. Students can not receive credit for both CS 380 and CS 421.,Course previously numbered CS 380. Students can not receive credit for both CS 380 and CS 421.,Course previously numbered CS 380. Students can not receive credit for both CS 380 and CS 421.,Course previously numbered CS 380. Students can not receive credit for both CS 380 and CS 421.,Course previously numbered CS 380. Students can not receive credit for both CS 380 and CS 421.,Course previously numbered CS 380. Students can not receive credit for both CS 380 and CS 421.,Course previously numbered CS 380. Students can not receive credit for both CS 380 and CS 421.,Course previously numbered CS 380. Students can not receive credit for both CS 380 and CS 421.,2023,Fall
85,02815,CS,425,001,3.000,OPERATING SYSTEMS I,Bowling Green,,,TBA,MWF,01:50 pm-02:45 pm,0,31,"Li, Q",08/21-12/07,2023,Fall
86,15606,CS,443,001,3.000,DATABASE MGT SYSTEMS,Bowling Green,,,TBA,TR,04:00 pm-05:20 pm,0,23,"Wang, H",08/21-12/07,2023,Fall
87,50181,CS,443G,004,3.000,DATABASE MANAGEMENT SYSTEMS,Bowling Green,,,TBA,TR,04:00 pm-05:20 pm,0,10,"Wang, H",08/21-12/07,2023,Fall
88,50912,CS,456,001,3.000,ARTIFICIAL INTELLIGENCE,Bowling Green,,,TBA,MWF,11:30 am-12:25 pm,0,15,"Xia, Z",08/21-12/07,2023,Fall
89,50913,CS,456G,001,3.000,ARTIFICIAL INTELLIGENCE,Bowling Green,,,TBA,MWF,11:30 am-12:25 pm,0,5,"Xia, Z",08/21-12/07,2023,Fall
90,39413,CS,475,001,3.000,TOPICS/COMPUTER SCIENCE,Bowling Green,,,TBA,,TBA,0,2,TBA,08/21-12/07,2023,Fall
91,50911,CS,475,002,3.000,AUTOMATA THEORY AND COMPILER C,Bowling Green,,,TBA,TR,08:00 am-09:20 am,0,15,"Atici, M",08/21-12/07,2023,Fall
92,50576,CS,475,003,3.000,DISTRIBUTED/PARALLEL COMPUTING,Bowling Green,,,TBA,R,05:00 pm-07:45 pm,0,2,"Galloway, J",08/21-12/07,2023,Fall
93,50910,CS,500,001,3.000,RESEARCH METH/COMP SCI,Bowling Green,,,TBA,T,05:00 pm-07:45 pm,0,5,"Xing, G",08/21-12/07,2023,Fall
94,51288,CS,530,001,3.000,AUTOMATA THEORY AND COMPILER,Bowling Green,,,TBA,TR,08:00 am-09:45 am,0,20,"Atici, M",08/21-12/07,2023,Fall
95,51287,CS,562,500,3.000,PARALLEL AND DISTRIBUTED COMP,Bowling Green,,,TBA,R,05:00 pm-07:45 pm,0,20,"Galloway, J",08/21-12/07,2023,Fall
96,31398,CS,599,002,6.000,THESIS RESEARCH/WRITING,Bowling Green,,,TBA,,TBA,0,1,TBA,08/21-12/07,2023,Fall
97,50069,CS,599,006,3.000,THESIS RESEARCH/WRITING,Bowling Green,,,TBA,,TBA,0,1,TBA,08/21-12/07,2023,Fall
98,02869,CS,600,001,1.000,MAINT MATRICULATION,Bowling Green,,,TBA,,TBA,0,5,"Xing, G",10/16-12/07,2023,Fall
99,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,2023,Fall
100,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,Fall
101,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,2023,Fall
102,41750,CS,301,M01,3.0,GAME PROGRAMMING,Bowling Green,,,SH B104,MTWRF,08:00 am-09:30 am,1,19,"Galloway, J",05/08-06/16,2023,Summer
103,41748,CS,351,M05,3.0,DATABASE MANAGEMENT SYSTEMS I,Bowling Green,,,SH 1103,MTWRF,10:30 am-12:00 pm,0,20,"Xia, Z",05/08-06/16,2023,Summer
104,41751,CS,360,M01,3.0,SOFTWARE ENGINEERING I,Bowling Green,,,SH B104,MTWRF,10:30 am-12:00 pm,1,19,"Galloway, J",05/08-06/16,2023,Summer
105,41746,CS,425,M05,3.0,OPERATING SYSTEMS I,Bowling Green,,,SH 1102,MTWRF,01:00 pm-02:30 pm,6,14,"Li, Q",05/08-06/16,2023,Summer
106,41749,CS,543,M50,3.0,ADVANCED DATABASE SYSTEMS,Bowling Green,,,SH 1102,T,06:00 pm-08:45 pm,1,19,"Xing, G",05/08-08/10,2023,Summer
107,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,Summer
108,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,2023,Summer
109,37171,CS,146,001,3.000,INTRODUCTION TO PROGRAMMING,Bowling Green,$45,Yes,SH B103,TR,02:20 pm-03:40 pm,23,8,"Abumuhfouz, I",01/17-05/04,2023,Spring
110,39680,CS,170,002,3.000,PROBLEM SOLVING & PROGRAMMING,Bowling Green,$45,Yes,SH B105,TR,12:45 pm-02:05 pm,29,2,"Abumuhfouz, I",01/17-05/04,2023,Spring
111,45488,CS,180,001,4.000,COMPUTER SCIENCE I,Bowling Green,$45,Yes,KTH 3057,MWF,11:30 am-12:25 pm,23,8,"Yang, R",01/17-05/04,2023,Spring
112,,,,,,,,,,SH B103,M,12:40 pm-02:30 pm,,,"Yang, R",01/17-05/04,2023,Spring
113,45491,CS,180,002,4.000,COMPUTER SCIENCE I,Bowling Green,$45,Yes,KTH 3057,MWF,11:30 am-12:25 pm,21,10,"Yang, R",01/17-05/04,2023,Spring
114,,,,,,,,,,SH B103,W,12:40 pm-02:30 pm,,,"Yang, R",01/17-05/04,2023,Spring
115,47199,CS,270,003,3.000,INTRO TO WEB PROGRAMMING,Bowling Green,,Yes,SH B104,TR,09:35 am-10:55 am,28,2,"Abumuhfouz, I",01/17-05/04,2023,Spring
116,46126,CS,290,001,4.000,COMPUTER SCIENCE II,Bowling Green,$45,Yes,SH 3110,TR,11:10 am-12:30 pm,27,3,"Xing, G",01/17-05/04,2023,Spring
117,,,,,,,,,,SH B104,T,12:45 pm-02:35 pm,,,"Xing, G",01/17-05/04,2023,Spring
118,46129,CS,290,002,4.000,HON: COMPUTER SCIENCE II,Bowling Green,$45,Yes,SH 3110,TR,11:10 am-12:30 pm,20,0,"Xing, G",01/17-05/04,2023,Spring
119,,,,,,,,,,SH B104,R,12:45 pm-02:35 pm,,,"Xing, G",01/17-05/04,2023,Spring
120,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,Honors Eligibility or 3.2 overall university GPA required,2023,Spring
121,46127,CS,290,007,4.000,COMPUTER SCIENCE II,Bowling Green,$45,Yes,SH 3110,TR,11:10 am-12:30 pm,10,0,"Xing, G",01/17-05/04,2023,Spring
122,,,,,,,,,,SH B104,R,12:45 pm-02:35 pm,,,"Xing, G",01/17-05/04,2023,Spring
123,47536,CS,299,003,1.000,INTRO TO RESEARCH IN CS,Bowling Green,,,TBA,,TBA,1,0,"Atici, M",03/20-05/04,2023,Spring
124,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,This is a bi-term course - see course dates,2023,Spring
125,46681,CS,301,002,3.000,GAME PROGRAMMING,Bowling Green,,Yes,SH B104,TR,08:00 am-09:20 am,33,7,"Galloway, J",01/17-05/04,2023,Spring
126,46429,CS,331,001,3.000,DATA STRUCTURES,Bowling Green,,Yes,SH B104,MWF,01:50 pm-02:45 pm,31,0,"Xia, Z",01/17-05/04,2023,Spring
127,41921,CS,339,001,3.000,DISCRETE STRUCTURES,Bowling Green,,Yes,COHH 1102,MW,03:25 pm-04:45 pm,35,5,"Atici, M",01/17-05/04,2023,Spring
128,41924,CS,351,001,3.000,DATABASE MANAGEMENT SYSTEMS I,Bowling Green,,Yes,KTH 3053,MWF,09:10 am-10:05 am,45,0,"Yang, R",01/17-05/04,2023,Spring
129,35757,CS,371,002,3.000,HON: ADV COMP PROB SOLVING,Bowling Green,,Yes,COHH 2117,MWF,09:10 am-10:05 am,14,1,"Atici, M",01/17-05/04,2023,Spring
